
2025/01/08 (20:31:52) | DEBUG: Shared::init() : Initialized.

2025/01/08 (22:50:08) | ===> btop++ v.1.4.0
2025/01/08 (22:50:08) | INFO: Logger set to DEBUG
2025/01/08 (22:50:08) | DEBUG: Using locale en_US.UTF-8
2025/01/08 (22:50:08) | INFO: Running on /dev/pts/2
2025/01/08 (22:50:08) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/08 (22:50:08) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/08 (22:50:08) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/01/08 (22:50:08) | DEBUG: Shared::init() : Initialized.

2025/01/08 (23:31:24) | ===> btop++ v.1.4.0
2025/01/08 (23:31:24) | INFO: Logger set to DEBUG
2025/01/08 (23:31:24) | DEBUG: Using locale en_US.UTF-8
2025/01/08 (23:31:24) | INFO: Running on /dev/pts/0
2025/01/08 (23:31:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/08 (23:31:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/08 (23:31:24) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/01/08 (23:31:24) | DEBUG: Shared::init() : Initialized.

2025/01/09 (21:28:53) | ===> btop++ v.1.4.0
2025/01/09 (21:28:53) | INFO: Logger set to DEBUG
2025/01/09 (21:28:53) | DEBUG: Using locale en_US.UTF-8
2025/01/09 (21:28:53) | INFO: Running on /dev/pts/0
2025/01/09 (21:28:53) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/09 (21:28:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/09 (21:28:53) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/01/09 (21:28:53) | DEBUG: Shared::init() : Initialized.

2025/01/10 (20:35:45) | ===> btop++ v.1.4.0
2025/01/10 (20:35:45) | INFO: Logger set to DEBUG
2025/01/10 (20:35:45) | DEBUG: Using locale en_US.UTF-8
2025/01/10 (20:35:45) | INFO: Running on /dev/pts/5
2025/01/10 (20:35:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/10 (20:35:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/10 (20:35:45) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/01/10 (20:35:45) | DEBUG: Shared::init() : Initialized.
2025/01/10 (20:35:46) | INFO: Quitting! Runtime: 00:00:01
